Distrito,Dirección,Tipo.de.Inmueble,Descripción,Habitaciones.Disponibles,Precio.Mensual,Notas,tiempo.manejo,metros.manejo,tiempo.caminata,metros.caminata,Piso
Ostiense / Marconi,Via Ettore Rolli,1,"Ingresso, 3 camere, cucina e bagno",1 singola; 1 posto letto,€ 430 singola; € 350 posto letto; TUTTO INCLUSO,disponibililt� (singola) 1� marzo per ragazze Stazione Trastevere,1906,17684,7698,10235,ST
Ostiense / Marconi,Largo Enea Bortolotti,1,"Ingresso, soggiorno, 4 camere, cucina abitabile, 2 bagni",1 Singola,€ 565; TUTTO INCLUSO,disponibile per ragazze Metro B Marconi,1973,41435,9102,12241,2°
Ostiense / Marconi,Largo Enea Bortolotti,1,"Ingresso, piccolo soggiorno, 3 camere, cucina abitabile, 2 bagni",1 Singole,€ 350; € 450; Spese escluse,camera da ﾀ 350 disponibile dal 1ﾰ Marzo per ragazze,1973,41435,9102,12241,5°
Ostiense / Marconi,Largo Giuseppe Veratti,1,"Ingresso, 3 camere, cucina abitabile, bagno",1 Singola,€ 500; TUTTO INCLUSO,disponibile per ragazze Metro B Marconi,1961,41331,9451,12747,7°
Ostiense / Marconi,Largo Giuseppe Veratti,1,"Ingresso, soggiorno, 2 camere, cucina,
2bagni",2 singole,"€ 850 intero appartamento; € 425 singola; conominio, acqua e riscaldamento inclusi",disponibile per ragazzi/ragazze metro B Marconi,1961,41331,9451,12747,1°
Ostiense / Marconi,Via Antonio Roiti,1,"Ingresso, 2 camere, cucina abitabile, bagno, terrazzo",1 singola/uso doppia,"€ 550; € 350 posto letto; condominio, acqua, riscaldamento e tassa rifiuti inclusi",disponibile per ragazze Metro B Marconi,2113,41823,8749,11640,R
Ostiense / Marconi,Lungotevere degli Inventori,1,"Ingresso, 2 camere, cucina abitabile, bagno",1 singola,€ 530; spese incluse tranne internet,disponibile per ragazze Metro B Marconi,2013,41420,8971,11934,5°
Ostiense / Marconi,Via Federico Guarducci,1,"Ingresso, 2 camere, cucina, bagno",1 singola,"€ 475; condominio, acqua e riscaldamento inclusi",disponibile per ragazze Metro B Marconi,2141,41931,8682,11551,4°
Ostiense / Marconi,Via Pietro Blaserna,1,"Ingresso, soggiorno, 2 camere, cucina, 2 bagni",2 doppie,"€ 340 posto letto; coondominio, acqua e riscaldamento inclusi",disponibile dal 1ﾰ Marzo per ragazzi/ragazze Metro B Marconi,2048,18014,8570,11425,1°
Ostiense / Marconi,Via Antonino Lo Surdo,1,"Ingresso, 2 camere, cucina, bagno",1 singola/uso doppia;,€ 550 singola; € 325 posto letto; TUTTO INCLUSO,disponibile dal 7 Marzo per ragazzi/ragazze Metro B Marconi,2180,41848,8698,11589,8°
Ostiense / Marconi,Via Casamari,1,"Ingresso, soggiorno, 4 camere, cucina, 2 bagni",1 singola,"€ 370; condominio, acqua, riscaldamento e tassa rifiuti inclusi",disponibile dal 1ﾰMarzo per ragazzi Metro B Marconi,3767,97663,63972,86962,3°
Ostiense / Marconi,Via Eugenio Barsanti,1,"Ingresso, 2 camere, cucina, bagno",1 doppia,"€ 325 posto letto; condominio, acqua, tassa rifiuti e riscaldamento inclusi",disponibile per ragazzi/ragazze Stazione Trastevere Metro B Marconi,7680,223209,169349,228705,5°
Ostiense / Marconi,Lungotevere Dante,1,"Ingresso con cucina/living, 3 camere, 2 bagni",2 singole; 1 doppia,"€ 475; € 525; € 375 posto letto; condominio, acqua, riscaldamento tassa rifiuti inclusa",disponibile per ragazze/ragazzi Metro B Marconi,2086,42072,9714,13033,R
Ostiense / Marconi,Via Francesco Maurolico,1,"Ingresso, 2 camere, cucina, bagno",1 singola; 1 doppia,€ 450 singola; € 300 posto letto; spese escluse,Disponibiledal 1ﾰ Marzo per ragazze/ragazzi Metro B Marconi,36894,933662,206436,563011,7°
Ostiense / Marconi,Via Giuseppe Veronesi,1,"Ingresso, 3 camere, cucina, 2 bagni",1 singola,€ 450; spese escluse,dosponibile dal 22 Febbraio per ragazze Metro B Marconi,16591,483137,359778,478125,6°
Ostiense / Marconi,Via Luigi Biolchini,1,"Ingresso, 3 camere, cucina, 1 bagno",2 singole,"€ 475 € 450; condominio, acqua, riscaldamento, tassa rifiuti, internet inclusi",dosponibile per ragazze Metro B Marconi,2101,41649,8257,10999,7°
Ostiense / Marconi,Via Guido Castelnuovo,1,"Ingresso, 2 camere, cucina, 1 bagno",1 singola; 1 doppia,"€ 450; € 300 posto letto; condominio, acqua, riscaldamento, tassa rifiuti inclusi",dosponibile per ragazzi/ragazze Metro B Marconi,2086,18231,8634,11516,7°
Parioli,Viale Bruno Buozzi,1,"3 camere, bagno, cucina, aria condizionata, internet",1 singola,€ 550; spese escluse,Disponibile per ragazze Autobus e Tram,886,8867,3905,5352,S
Ponte Milvio,Via Bernardino Molinari,0,"Ingresso, camera, cucina/living, bagno, terrazzo",monolocale,€ 700 condominio e acqua inclusi,disponibile per ragazze,952,12444,6916,9270,T
